Time 1228444, User A, Process 1, Started
Time 1228444, User A, Process 1, Resumed
Time 1228446, User A, Process 1, Paused
Time 1228446, User B, Process 0, Started
Time 1228446, User B, Process 0, Resumed
Time 1228447, User B, Process 0, Paused
Time 1228447, User B, Process 0, Resumed
Time 1228448, User B, Process 0, Paused
Time 1228448, User A, Process 1, Resumed
Time 1228450, User A, Process 1, Paused
Time 1228450, User B, Process 0, Resumed
Time 1228451, User B, Process 0, Paused
Time 1228451, User B, Process 0, Resumed
Time 1228452, User B, Process 0, Paused
Time 1228452, User A, Process 1, Resumed
Time 1228453, User A, Process 1, Paused
Time 1228453, User A, Process 1, Finished
Time 1228453, User B, Process 0, Resumed
Time 1228455, User B, Process 0, Paused
Time 1228455, User B, Process 0, Finished
Time 1228455, User B, Process 0, Paused
Time 1228455, User B, Process 0, Finished
